Hours worked, hours estimated and cost
SprintNumber,Member,HoursWorked,HoursEstimated,Cost
glrss-iscte,sprint-cost,Handlers Working / Ready to implement Trello and Git,2021-11-19
glrss-iscte,sprint-cost,JavaDocs and refactoring classes,2021-11-20
glrss-iscte,sprint-cost,Merge remote-tracking branch 'origin/main-t' into main-t

# Conflicts:
#	src/main/java/GitManager.java
#	src/main/java/TrelloManager.java
#	src/test/java/TrelloManagerTest.java,2021-11-21
glrss-iscte,sprint-cost,JavaDocs and refactoring classes,2021-11-21
glrss-iscte,sprint-cost,Fixing UI images and some other classes,2021-11-22
pjspa-iscte,sprint-cost,envio calculo horas,2021-10-13
pjspa-iscte,sprint-cost,adding get cost,2021-11-21
pjspa-iscte,sprint-cost,adding get cost,2021-11-21
Henrique-DeSousa,sprint-cost,README v1.0.1

Added a backstory to the file.
Added some of the requisites.
Added a, still in progress, short description of the project.
Added English to our project.,2021-10-08
Henrique-DeSousa,sprint-cost,Created API's, Interface, Main and Utility classes,2021-10-13
Henrique-DeSousa,sprint-cost,Merge branch 'main' of https://github.com/trvas/ES-LETI-1Sem-2021-Grupo9,2021-10-13
Henrique-DeSousa,sprint-cost,Added Git constructor,2021-10-28
Henrique-DeSousa,sprint-cost,Added Git constructor,2021-10-29
Henrique-DeSousa,sprint-cost,Merge pull request #3 from trvas/backlog-items

Backlog items Backlog Items Developed in each SPRINT,2021-11-12
Henrique-DeSousa,sprint-cost,Added Git constructor,2021-10-28
Henrique-DeSousa,sprint-cost,Added Git constructor,2021-10-29
Henrique-DeSousa,sprint-cost,Updating GitManager,2021-11-21
Henrique-DeSousa,sprint-cost,Added GitManagerTest,2021-11-21
Henrique-DeSousa,sprint-cost,Deleted portion,2021-11-23
trvas,sprint-cost,Initial commit,2021-10-08
trvas,sprint-cost,Added authors to README,2021-10-08
trvas,sprint-cost,intellij added files,2021-10-15
trvas,sprint-cost,intelliJ build,2021-10-15
trvas,sprint-cost,intelliJ build,2021-10-15
trvas,sprint-cost,renaming,2021-10-15
trvas,sprint-cost,added trello4j dependencies,2021-10-15
trvas,sprint-cost,testing trello4j,2021-10-15
trvas,sprint-cost,installed github api,2021-10-15
trvas,sprint-cost,clearing main,2021-10-15
trvas,sprint-cost,backlog branch,2021-10-15
trvas,sprint-cost,testing features,2021-10-15
trvas,sprint-cost,getSprintBacklog v1,2021-10-15
trvas,sprint-cost,getSprintBacklog v1 (reorganizing),2021-10-15
trvas,sprint-cost,reorganizing classes,2021-10-15
trvas,sprint-cost,added getBoardListIdByName + extras that might be helpful,2021-10-15
trvas,sprint-cost,changed the board to get cards from,2021-10-15
trvas,sprint-cost,same as prev,2021-10-15
trvas,sprint-cost,--,2021-10-15
trvas,sprint-cost,readded javaDoc of extra function,2021-10-15
trvas,sprint-cost,cleaning classes,2021-10-18
trvas,sprint-cost,adding test class and constructor to TrelloManager,2021-10-22
trvas,sprint-cost,Merge branch 'main' into backlog-items

# Conflicts:
#	src/main/java/TrelloManager.java,2021-10-24
trvas,sprint-cost,merging with main, changing a few details,2021-10-24
trvas,sprint-cost,changing syntax,2021-10-24
trvas,sprint-cost,changing syntax, removing unnecessary imports,2021-10-24
trvas,sprint-cost,cleaning up classes, implementing tests,2021-10-28
trvas,sprint-cost,changing the method to match the new trello board changes,2021-11-12
trvas,sprint-cost,clearing out the main method,2021-11-12
trvas,sprint-cost,updating the getBoardListByName method and test,2021-11-12
trvas,sprint-cost,Merge remote-tracking branch 'origin/main',2021-11-12
trvas,sprint-cost,cleaning the test class,2021-11-12
trvas,sprint-cost,Merge branch 'main' into backlog-items,2021-11-12
trvas,sprint-cost,resolving imports, cleaning trelloManager class,2021-11-12
trvas,sprint-cost,clearing out TrelloManager,2021-11-14
trvas,sprint-cost,adding the getSprintCount class + tests,2021-11-14
trvas,sprint-cost,fixing warnings,2021-11-20
trvas,sprint-cost,backlog branch,2021-10-15
trvas,sprint-cost,testing features,2021-10-15
trvas,sprint-cost,getSprintBacklog v1,2021-10-15
trvas,sprint-cost,getSprintBacklog v1 (reorganizing),2021-10-15
trvas,sprint-cost,reorganizing classes,2021-10-15
trvas,sprint-cost,changed the board to get cards from,2021-10-15
trvas,sprint-cost,--,2021-10-15
trvas,sprint-cost,cleaning classes,2021-10-18
trvas,sprint-cost,adding test class and constructor to TrelloManager,2021-10-22
trvas,sprint-cost,merging with main, changing a few details,2021-10-24
trvas,sprint-cost,cleaning up classes, implementing tests,2021-10-28
trvas,sprint-cost,changing the method to match the new trello board changes,2021-11-12
trvas,sprint-cost,clearing out the main method,2021-11-12
trvas,sprint-cost,cleaning the test class,2021-11-12
trvas,sprint-cost,changing syntax,2021-10-24
trvas,sprint-cost,changing syntax, removing unnecessary imports,2021-10-24
trvas,sprint-cost,updating the getBoardListByName method and test,2021-11-12
trvas,sprint-cost,resolving imports, cleaning trelloManager class,2021-11-12
trvas,sprint-cost,Merge pull request #7 from trvas/ui-features-2

UI features,2021-11-21
trvas,sprint-cost,re-adding trelloManager classes + tests.,2021-11-21
trvas,sprint-cost,renaming packages,2021-11-21
trvas,sprint-cost,fixing warnings,2021-11-21
trvas,sprint-cost,adding javadoc, fixing warnings,2021-11-21
trvas,sprint-cost,pasting methods onto new updated sprint cost branch,2021-11-21
trvas,sprint-cost,small updates,2021-11-22
trvas,sprint-cost,changing up classes, adding tests, fixing codesmells and other warnings,2021-11-23
trvas,sprint-cost,adding getsprintcostbymember + tests,2021-11-23
trvas,sprint-cost,Merge branch 'main' into sprint-cost,2021-11-23
trvas,sprint-cost,adding classes to get sprint hours + estimated and same thing but by member, plus tests,2021-11-23
trvas,sprint-cost,Merge remote-tracking branch 'origin/sprint-cost' into sprint-cost,2021-11-23
glrss-iscte,meetings-text,Merge pull request #1 from Henrique-DeSousa/patch-1

README v1.0.1,2021-10-11
glrss-iscte,meetings-text,reformato,2021-10-13
glrss-iscte,meetings-text,Simple UI features / Reformat classes,2021-10-18
glrss-iscte,meetings-text,Adding stuff,2021-10-18
glrss-iscte,meetings-text,Simple UI features / Reformat classes,2021-11-19
glrss-iscte,meetings-text,Handlers Working / Ready to implement Trello and Git,2021-11-19
glrss-iscte,meetings-text,JavaDocs and refactoring classes,2021-11-20
glrss-iscte,meetings-text,Merge remote-tracking branch 'origin/main-t' into main-t

# Conflicts:
#	src/main/java/GitManager.java
#	src/main/java/TrelloManager.java
#	src/test/java/TrelloManagerTest.java,2021-11-21
pjspa-iscte,meetings-text,envio calculo horas,2021-10-13
Henrique-DeSousa,meetings-text,README v1.0.1

Added a backstory to the file.
Added some of the requisites.
Added a, still in progress, short description of the project.
Added English to our project.,2021-10-08
Henrique-DeSousa,meetings-text,Created API's, Interface, Main and Utility classes,2021-10-13
Henrique-DeSousa,meetings-text,Merge branch 'main' of https://github.com/trvas/ES-LETI-1Sem-2021-Grupo9,2021-10-13
Henrique-DeSousa,meetings-text,Added Git constructor,2021-10-28
Henrique-DeSousa,meetings-text,Added Git constructor,2021-10-29
Henrique-DeSousa,meetings-text,Merge pull request #3 from trvas/backlog-items

Backlog items Backlog Items Developed in each SPRINT,2021-11-12
Henrique-DeSousa,meetings-text,Added Git constructor,2021-10-28
Henrique-DeSousa,meetings-text,Added Git constructor,2021-10-29
trvas,meetings-text,Initial commit,2021-10-08
trvas,meetings-text,Added authors to README,2021-10-08
trvas,meetings-text,intellij added files,2021-10-15
trvas,meetings-text,intelliJ build,2021-10-15
trvas,meetings-text,intelliJ build,2021-10-15
trvas,meetings-text,renaming,2021-10-15
trvas,meetings-text,added trello4j dependencies,2021-10-15
trvas,meetings-text,testing trello4j,2021-10-15
trvas,meetings-text,installed github api,2021-10-15
trvas,meetings-text,clearing main,2021-10-15
trvas,meetings-text,backlog branch,2021-10-15
trvas,meetings-text,testing features,2021-10-15
trvas,meetings-text,getSprintBacklog v1,2021-10-15
trvas,meetings-text,getSprintBacklog v1 (reorganizing),2021-10-15
trvas,meetings-text,reorganizing classes,2021-10-15
trvas,meetings-text,added getBoardListIdByName + extras that might be helpful,2021-10-15
trvas,meetings-text,changed the board to get cards from,2021-10-15
trvas,meetings-text,same as prev,2021-10-15
trvas,meetings-text,--,2021-10-15
trvas,meetings-text,readded javaDoc of extra function,2021-10-15
trvas,meetings-text,cleaning classes,2021-10-18
trvas,meetings-text,adding test class and constructor to TrelloManager,2021-10-22
trvas,meetings-text,Merge branch 'main' into backlog-items

# Conflicts:
#	src/main/java/TrelloManager.java,2021-10-24
trvas,meetings-text,merging with main, changing a few details,2021-10-24
trvas,meetings-text,changing syntax,2021-10-24
trvas,meetings-text,changing syntax, removing unnecessary imports,2021-10-24
trvas,meetings-text,cleaning up classes, implementing tests,2021-10-28
trvas,meetings-text,changing the method to match the new trello board changes,2021-11-12
trvas,meetings-text,clearing out the main method,2021-11-12
trvas,meetings-text,updating the getBoardListByName method and test,2021-11-12
trvas,meetings-text,Merge remote-tracking branch 'origin/main',2021-11-12
trvas,meetings-text,cleaning the test class,2021-11-12
trvas,meetings-text,Merge branch 'main' into backlog-items,2021-11-12
trvas,meetings-text,resolving imports, cleaning trelloManager class,2021-11-12
trvas,meetings-text,creating branch,2021-11-14
trvas,meetings-text,testing classes,2021-11-14
trvas,meetings-text,clearing out TrelloManager,2021-11-14
trvas,meetings-text,creating the getMeetings class,2021-11-14
trvas,meetings-text,adding the getSprintCount class + tests,2021-11-14
trvas,meetings-text,new tests,2021-11-14
trvas,meetings-text,added tests,2021-11-19
trvas,meetings-text,Merge branch 'main' into meetings-text,2021-11-19
trvas,meetings-text,fixing warnings,2021-11-20
trvas,meetings-text,backlog branch,2021-10-15
trvas,meetings-text,testing features,2021-10-15
trvas,meetings-text,getSprintBacklog v1,2021-10-15
trvas,meetings-text,getSprintBacklog v1 (reorganizing),2021-10-15
trvas,meetings-text,reorganizing classes,2021-10-15
trvas,meetings-text,changed the board to get cards from,2021-10-15
trvas,meetings-text,--,2021-10-15
trvas,meetings-text,cleaning classes,2021-10-18
trvas,meetings-text,adding test class and constructor to TrelloManager,2021-10-22
trvas,meetings-text,merging with main, changing a few details,2021-10-24
trvas,meetings-text,cleaning up classes, implementing tests,2021-10-28
trvas,meetings-text,changing the method to match the new trello board changes,2021-11-12
trvas,meetings-text,clearing out the main method,2021-11-12
trvas,meetings-text,cleaning the test class,2021-11-12
trvas,meetings-text,changing syntax,2021-10-24
trvas,meetings-text,changing syntax, removing unnecessary imports,2021-10-24
trvas,meetings-text,updating the getBoardListByName method and test,2021-11-12
trvas,meetings-text,resolving imports, cleaning trelloManager class,2021-11-12
trvas,meetings-text,Merge pull request #6 

Pushing the graphic interface to the master branch.,2021-11-21
trvas,meetings-text,Merge branch 'main' into meetings-text,2021-11-21
glrss-iscte,main,Merge pull request #1 from Henrique-DeSousa/patch-1

README v1.0.1,2021-10-11
glrss-iscte,main,reformato,2021-10-13
glrss-iscte,main,Simple UI features / Reformat classes,2021-10-18
glrss-iscte,main,Adding stuff,2021-10-18
glrss-iscte,main,Simple UI features / Reformat classes,2021-11-19
glrss-iscte,main,Handlers Working / Ready to implement Trello and Git,2021-11-19
glrss-iscte,main,JavaDocs and refactoring classes,2021-11-20
glrss-iscte,main,Merge remote-tracking branch 'origin/main-t' into main-t

# Conflicts:
#	src/main/java/GitManager.java
#	src/main/java/TrelloManager.java
#	src/test/java/TrelloManagerTest.java,2021-11-21
glrss-iscte,main,JavaDocs and refactoring classes,2021-11-21
glrss-iscte,main,Fixing UI images and some other classes,2021-11-22
pjspa-iscte,main,envio calculo horas,2021-10-13
pjspa-iscte,main,adding get cost,2021-11-21
pjspa-iscte,main,adding get cost,2021-11-21
Henrique-DeSousa,main,README v1.0.1

Added a backstory to the file.
Added some of the requisites.
Added a, still in progress, short description of the project.
Added English to our project.,2021-10-08
Henrique-DeSousa,main,Created API's, Interface, Main and Utility classes,2021-10-13
Henrique-DeSousa,main,Merge branch 'main' of https://github.com/trvas/ES-LETI-1Sem-2021-Grupo9,2021-10-13
Henrique-DeSousa,main,Added Git constructor,2021-10-28
Henrique-DeSousa,main,Added Git constructor,2021-10-29
Henrique-DeSousa,main,Merge pull request #3 from trvas/backlog-items

Backlog items Backlog Items Developed in each SPRINT,2021-11-12
Henrique-DeSousa,main,Added Git constructor,2021-10-28
Henrique-DeSousa,main,Added Git constructor,2021-10-29
Henrique-DeSousa,main,Updating GitManager,2021-11-21
Henrique-DeSousa,main,Added GitManagerTest,2021-11-21
Henrique-DeSousa,main,Deleted portion,2021-11-23
Henrique-DeSousa,main,Merge pull request #10 from trvas/sprint-cost

Cost + Hours of each SPRINT,2021-11-23
Henrique-DeSousa,main,Merge pull request #11 from trvas/activities

Commited + Not Commited Activities,2021-11-27
Henrique-DeSousa,main,git literally more drunk than a male fruit fly,2021-12-04
Henrique-DeSousa,main,double up on before,2021-12-04
Henrique-DeSousa,main,at this point intellij is drunk,2021-12-04
Henrique-DeSousa,main,Updated tests,2021-12-04
Henrique-DeSousa,main,Updated GitManager,2021-12-04
Henrique-DeSousa,main,removed token,2021-12-04
Henrique-DeSousa,main,removed token,2021-12-04
Henrique-DeSousa,main,wrong place to commit,2021-12-04
Henrique-DeSousa,main,fixed dependencies,2021-12-04
Henrique-DeSousa,main,updated,2021-12-04
Henrique-DeSousa,main,Updated Code,2021-12-05
trvas,main,Initial commit,2021-10-08
trvas,main,Added authors to README,2021-10-08
trvas,main,intellij added files,2021-10-15
trvas,main,intelliJ build,2021-10-15
trvas,main,intelliJ build,2021-10-15
trvas,main,renaming,2021-10-15
trvas,main,added trello4j dependencies,2021-10-15
trvas,main,testing trello4j,2021-10-15
trvas,main,installed github api,2021-10-15
trvas,main,clearing main,2021-10-15
trvas,main,backlog branch,2021-10-15
trvas,main,testing features,2021-10-15
trvas,main,getSprintBacklog v1,2021-10-15
trvas,main,getSprintBacklog v1 (reorganizing),2021-10-15
trvas,main,reorganizing classes,2021-10-15
trvas,main,added getBoardListIdByName + extras that might be helpful,2021-10-15
trvas,main,changed the board to get cards from,2021-10-15
trvas,main,same as prev,2021-10-15
trvas,main,--,2021-10-15
trvas,main,readded javaDoc of extra function,2021-10-15
trvas,main,cleaning classes,2021-10-18
trvas,main,adding test class and constructor to TrelloManager,2021-10-22
trvas,main,Merge branch 'main' into backlog-items

# Conflicts:
#	src/main/java/TrelloManager.java,2021-10-24
trvas,main,merging with main, changing a few details,2021-10-24
trvas,main,changing syntax,2021-10-24
trvas,main,changing syntax, removing unnecessary imports,2021-10-24
trvas,main,cleaning up classes, implementing tests,2021-10-28
trvas,main,changing the method to match the new trello board changes,2021-11-12
trvas,main,clearing out the main method,2021-11-12
trvas,main,updating the getBoardListByName method and test,2021-11-12
trvas,main,Merge remote-tracking branch 'origin/main',2021-11-12
trvas,main,cleaning the test class,2021-11-12
trvas,main,Merge branch 'main' into backlog-items,2021-11-12
trvas,main,resolving imports, cleaning trelloManager class,2021-11-12
trvas,main,clearing out TrelloManager,2021-11-14
trvas,main,adding the getSprintCount class + tests,2021-11-14
trvas,main,fixing warnings,2021-11-20
trvas,main,backlog branch,2021-10-15
trvas,main,testing features,2021-10-15
trvas,main,getSprintBacklog v1,2021-10-15
trvas,main,getSprintBacklog v1 (reorganizing),2021-10-15
trvas,main,reorganizing classes,2021-10-15
trvas,main,changed the board to get cards from,2021-10-15
trvas,main,--,2021-10-15
trvas,main,cleaning classes,2021-10-18
