Hours worked, hours estimated and cost
SprintNumber,Member,HoursWorked,HoursEstimated,Cost
trvas,Java_Doc,changing syntax, removing unnecessary imports,2021-10-24
trvas,Java_Doc,updating the getBoardListByName method and test,2021-11-12
trvas,Java_Doc,resolving imports, cleaning trelloManager class,2021-11-12
trvas,Java_Doc,Merge pull request #7 from trvas/ui-features-2

UI features,2021-11-21
trvas,Java_Doc,re-adding trelloManager classes + tests.,2021-11-21
trvas,Java_Doc,renaming packages,2021-11-21
trvas,Java_Doc,fixing warnings,2021-11-21
trvas,Java_Doc,adding javadoc, fixing warnings,2021-11-21
glrss-iscte,GitMan,Merge pull request #1 from Henrique-DeSousa/patch-1

README v1.0.1,2021-10-11
glrss-iscte,GitMan,reformato,2021-10-13
pjspa-iscte,GitMan,envio calculo horas,2021-10-13
Henrique-DeSousa,GitMan,README v1.0.1

Added a backstory to the file.
Added some of the requisites.
Added a, still in progress, short description of the project.
Added English to our project.,2021-10-08
Henrique-DeSousa,GitMan,Created API's, Interface, Main and Utility classes,2021-10-13
Henrique-DeSousa,GitMan,Merge branch 'main' of https://github.com/trvas/ES-LETI-1Sem-2021-Grupo9,2021-10-13
Henrique-DeSousa,GitMan,created branch and testing git API,2021-10-18
Henrique-DeSousa,GitMan,Created several classes related to info,2021-10-19
Henrique-DeSousa,GitMan,added new functionality, cleaned up some of the code, tested new functionalities,2021-10-20
Henrique-DeSousa,GitMan,added the ability to ask the user for data to test some functionalities,2021-10-21
Henrique-DeSousa,GitMan,Made it simpelton proof, cleaned code and added extra functions,2021-10-24
Henrique-DeSousa,GitMan,Merge branch 'main' into GitMan

# Conflicts:
#	pom.xml
#	src/main/java/TrelloManager.java,2021-10-24
Henrique-DeSousa,GitMan,changed class path for testGitManager,2021-10-24
Henrique-DeSousa,GitMan,clean up,2021-10-28
Henrique-DeSousa,GitMan,revoked tokens and,2021-10-29
Henrique-DeSousa,GitMan,Get commit's Date, Comments and committer name,2021-11-11
Henrique-DeSousa,GitMan,Cleaned code, debugged, reworked functions and added JavaDoc,2021-11-21
Henrique-DeSousa,GitMan,Testes passed, 9/9,2021-11-21
Henrique-DeSousa,GitMan,Added missing javadocs.,2021-11-22
Henrique-DeSousa,GitMan,split functions. added more uses,2021-11-25
Henrique-DeSousa,GitMan,Cleaned functions.
Able to get all collaborators' data from a repository.
Added Javadocs.
Missing Commits from branches.
Missing Tag fetch.,2021-11-26
Henrique-DeSousa,GitMan,Added Tag fetch.
Added Javadocs.
Missing Commits from branches.,2021-11-26
Henrique-DeSousa,GitMan,Added ability to get the Names of the Files and Branches from a repository.
Added Javadocs.
Missing Commits from branches.,2021-11-26
Henrique-DeSousa,GitMan,Added ability to get the Commits from branches.,2021-12-01
Henrique-DeSousa,GitMan,Added more javaDocs,2021-12-02
Henrique-DeSousa,GitMan,Cleaned code and renamed functions,2021-12-02
Henrique-DeSousa,GitMan,Added tests.,2021-12-03
Henrique-DeSousa,GitMan,Finished testes.
Passed All tests
17/17,2021-12-03
Henrique-DeSousa,GitMan,Updated

Removed variables,2021-12-03
Henrique-DeSousa,GitMan,Removed Hardcoded variables.,2021-12-03
Henrique-DeSousa,GitMan,Merge remote-tracking branch 'origin/GitMan' into GitMan,2021-12-03
Henrique-DeSousa,GitMan,Removed Hardcoded variables.,2021-12-03
Henrique-DeSousa,GitMan,git was drunk,2021-12-04
Henrique-DeSousa,GitMan,debugging some hardcore bugs,2021-12-04
Henrique-DeSousa,GitMan,removed function in duplicate,2021-12-04
Henrique-DeSousa,GitMan,Passed new Tests,2021-12-04
Henrique-DeSousa,GitMan,fixed dependencies.
added function to reverse list.,2021-12-04
Henrique-DeSousa,GitMan,removed token again,2021-12-04
Henrique-DeSousa,GitMan,removed private,2021-12-04
Henrique-DeSousa,GitMan,spruced code up,2021-12-04
Henrique-DeSousa,GitMan,Cleaned code.
Added missing info.,2021-12-05
Henrique-DeSousa,GitMan,Cleaned code.
Added missing info.,2021-12-05
Henrique-DeSousa,GitMan,Cleaned code.
Added missing info.,2021-12-05
Henrique-DeSousa,GitMan,reworked a function.
props to Snooz,2021-12-05
Henrique-DeSousa,GitMan,git,2021-12-06
trvas,GitMan,Initial commit,2021-10-08
trvas,GitMan,Added authors to README,2021-10-08
trvas,GitMan,intellij added files,2021-10-15
trvas,GitMan,intelliJ build,2021-10-15
trvas,GitMan,intelliJ build,2021-10-15
trvas,GitMan,renaming,2021-10-15
trvas,GitMan,added trello4j dependencies,2021-10-15
trvas,GitMan,testing trello4j,2021-10-15
trvas,GitMan,installed github api,2021-10-15
trvas,GitMan,clearing main,2021-10-15
trvas,GitMan,added getBoardListIdByName + extras that might be helpful,2021-10-15
trvas,GitMan,same as prev,2021-10-15
trvas,GitMan,readded javaDoc of extra function,2021-10-15
trvas,GitMan,adding test class and constructor to TrelloManager,2021-10-22
trvas,GitMan,changing syntax,2021-10-24
trvas,GitMan,changing syntax, removing unnecessary imports,2021-10-24
glrss-iscte,Date_Card,Merge pull request #1 from Henrique-DeSousa/patch-1

README v1.0.1,2021-10-11
glrss-iscte,Date_Card,reformato,2021-10-13
glrss-iscte,Date_Card,Simple UI features / Reformat classes,2021-10-18
glrss-iscte,Date_Card,Adding stuff,2021-10-18
glrss-iscte,Date_Card,Simple UI features / Reformat classes,2021-11-19
glrss-iscte,Date_Card,Handlers Working / Ready to implement Trello and Git,2021-11-19
glrss-iscte,Date_Card,JavaDocs and refactoring classes,2021-11-20
glrss-iscte,Date_Card,Merge remote-tracking branch 'origin/main-t' into main-t

# Conflicts:
#	src/main/java/GitManager.java
#	src/main/java/TrelloManager.java
#	src/test/java/TrelloManagerTest.java,2021-11-21
glrss-iscte,Date_Card,JavaDocs and refactoring classes,2021-11-21
glrss-iscte,Date_Card,Fixing UI images and some other classes,2021-11-22
pjspa-iscte,Date_Card,envio calculo horas,2021-10-13
pjspa-iscte,Date_Card,adding get cost,2021-11-21
pjspa-iscte,Date_Card,adding get cost,2021-11-21
pjspa-iscte,Date_Card,class,2021-11-26
pjspa-iscte,Date_Card,class,2021-11-29
pjspa-iscte,Date_Card,class,2021-11-30
pjspa-iscte,Date_Card,class,2021-12-03
pjspa-iscte,Date_Card,class,2021-12-03
pjspa-iscte,Date_Card,class,2021-12-06
Henrique-DeSousa,Date_Card,README v1.0.1

Added a backstory to the file.
Added some of the requisites.
Added a, still in progress, short description of the project.
Added English to our project.,2021-10-08
Henrique-DeSousa,Date_Card,Created API's, Interface, Main and Utility classes,2021-10-13
Henrique-DeSousa,Date_Card,Merge branch 'main' of https://github.com/trvas/ES-LETI-1Sem-2021-Grupo9,2021-10-13
Henrique-DeSousa,Date_Card,Added Git constructor,2021-10-28
Henrique-DeSousa,Date_Card,Added Git constructor,2021-10-29
Henrique-DeSousa,Date_Card,Merge pull request #3 from trvas/backlog-items

Backlog items Backlog Items Developed in each SPRINT,2021-11-12
Henrique-DeSousa,Date_Card,Added Git constructor,2021-10-28
Henrique-DeSousa,Date_Card,Added Git constructor,2021-10-29
Henrique-DeSousa,Date_Card,Updating GitManager,2021-11-21
Henrique-DeSousa,Date_Card,Added GitManagerTest,2021-11-21
trvas,Date_Card,Initial commit,2021-10-08
trvas,Date_Card,Added authors to README,2021-10-08
trvas,Date_Card,intellij added files,2021-10-15
trvas,Date_Card,intelliJ build,2021-10-15
trvas,Date_Card,intelliJ build,2021-10-15
trvas,Date_Card,renaming,2021-10-15
trvas,Date_Card,added trello4j dependencies,2021-10-15
trvas,Date_Card,testing trello4j,2021-10-15
trvas,Date_Card,installed github api,2021-10-15
trvas,Date_Card,clearing main,2021-10-15
trvas,Date_Card,backlog branch,2021-10-15
trvas,Date_Card,testing features,2021-10-15
trvas,Date_Card,getSprintBacklog v1,2021-10-15
trvas,Date_Card,getSprintBacklog v1 (reorganizing),2021-10-15
trvas,Date_Card,reorganizing classes,2021-10-15
trvas,Date_Card,added getBoardListIdByName + extras that might be helpful,2021-10-15
trvas,Date_Card,changed the board to get cards from,2021-10-15
trvas,Date_Card,same as prev,2021-10-15
trvas,Date_Card,--,2021-10-15
trvas,Date_Card,readded javaDoc of extra function,2021-10-15
trvas,Date_Card,cleaning classes,2021-10-18
trvas,Date_Card,adding test class and constructor to TrelloManager,2021-10-22
trvas,Date_Card,Merge branch 'main' into backlog-items

# Conflicts:
#	src/main/java/TrelloManager.java,2021-10-24
trvas,Date_Card,merging with main, changing a few details,2021-10-24
trvas,Date_Card,changing syntax,2021-10-24
trvas,Date_Card,changing syntax, removing unnecessary imports,2021-10-24
trvas,Date_Card,cleaning up classes, implementing tests,2021-10-28
trvas,Date_Card,changing the method to match the new trello board changes,2021-11-12
trvas,Date_Card,clearing out the main method,2021-11-12
trvas,Date_Card,updating the getBoardListByName method and test,2021-11-12
trvas,Date_Card,Merge remote-tracking branch 'origin/main',2021-11-12
trvas,Date_Card,cleaning the test class,2021-11-12
trvas,Date_Card,Merge branch 'main' into backlog-items,2021-11-12
trvas,Date_Card,resolving imports, cleaning trelloManager class,2021-11-12
trvas,Date_Card,clearing out TrelloManager,2021-11-14
trvas,Date_Card,adding the getSprintCount class + tests,2021-11-14
trvas,Date_Card,fixing warnings,2021-11-20
trvas,Date_Card,backlog branch,2021-10-15
trvas,Date_Card,testing features,2021-10-15
trvas,Date_Card,getSprintBacklog v1,2021-10-15
trvas,Date_Card,getSprintBacklog v1 (reorganizing),2021-10-15
trvas,Date_Card,reorganizing classes,2021-10-15
trvas,Date_Card,changed the board to get cards from,2021-10-15
trvas,Date_Card,--,2021-10-15
trvas,Date_Card,cleaning classes,2021-10-18
trvas,Date_Card,adding test class and constructor to TrelloManager,2021-10-22
trvas,Date_Card,merging with main, changing a few details,2021-10-24
trvas,Date_Card,cleaning up classes, implementing tests,2021-10-28
trvas,Date_Card,changing the method to match the new trello board changes,2021-11-12
trvas,Date_Card,clearing out the main method,2021-11-12
trvas,Date_Card,cleaning the test class,2021-11-12
trvas,Date_Card,changing syntax,2021-10-24
trvas,Date_Card,changing syntax, removing unnecessary imports,2021-10-24
trvas,Date_Card,updating the getBoardListByName method and test,2021-11-12
trvas,Date_Card,resolving imports, cleaning trelloManager class,2021-11-12
trvas,Date_Card,Merge pull request #7 from trvas/ui-features-2

UI features,2021-11-21
trvas,Date_Card,re-adding trelloManager classes + tests.,2021-11-21
trvas,Date_Card,renaming packages,2021-11-21
trvas,Date_Card,fixing warnings,2021-11-21
trvas,Date_Card,adding javadoc, fixing warnings,2021-11-21
pjspa-iscte,CalculoCusto,Custo,2021-10-26
pjspa-iscte,CalculoCusto,Calculo_Teste,2021-11-17
